Date,Adj Close,%Change,Returns on 10000
28-09-2022,137.525,-1.23%,21300.70
29-09-2022,138.429,0.66%,21440.66
30-09-2022,140.710,1.65%,21794.01
03-10-2022,137.917,-1.99%,21361.39
04-10-2022,141.581,2.66%,21928.96
06-10-2022,142.872,0.91%,22128.91
07-10-2022,142.961,0.06%,22142.57
10-10-2022,142.099,-0.60%,22009.06
11-10-2022,139.300,-1.97%,21575.58
12-10-2022,140.584,0.92%,21774.51
13-10-2022,139.159,-1.01%,21553.75
14-10-2022,139.019,-0.10%,21532.10
17-10-2022,140.116,0.79%,21701.93
18-10-2022,142.091,1.41%,22007.89
19-10-2022,142.146,0.04%,22016.41
20-10-2022,142.429,0.20%,22060.24
21-10-2022,141.340,-0.76%,21891.59
25-10-2022,142.470,0.80%,22066.63
27-10-2022,143.615,0.80%,22243.99
28-10-2022,143.303,-0.22%,22195.58
31-10-2022,144.507,0.84%,22382.02
01-11-2022,144.455,-0.04%,22374.09
02-11-2022,144.357,-0.07%,22358.88
03-11-2022,145.431,0.74%,22525.21
04-11-2022,145.650,0.15%,22559.12
07-11-2022,146.105,0.31%,22629.54
09-11-2022,147.574,1.01%,22857.15
10-11-2022,146.806,-0.52%,22738.20
11-11-2022,146.303,-0.34%,22660.26
14-11-2022,145.964,-0.23%,22607.78
15-11-2022,145.800,-0.11%,22582.41
16-11-2022,144.369,-0.98%,22360.63
17-11-2022,144.083,-0.20%,22316.43
18-11-2022,144.316,0.16%,22352.58
21-11-2022,145.149,0.58%,22481.47
22-11-2022,146.297,0.79%,22659.27
23-11-2022,147.026,0.50%,22772.22
24-11-2022,147.594,0.39%,22860.23
25-11-2022,149.233,1.11%,23114.12
28-11-2022,149.992,0.51%,23231.69
29-11-2022,149.712,-0.19%,23188.19
30-11-2022,149.665,-0.03%,23180.98
01-12-2022,151.313,1.10%,23436.20
02-12-2022,152.389,0.71%,23602.83
05-12-2022,153.079,0.45%,23709.76
06-12-2022,152.916,-0.11%,23684.46
07-12-2022,152.661,-0.17%,23645.07
08-12-2022,154.737,1.36%,23966.58
09-12-2022,152.634,-1.36%,23640.88
12-12-2022,153.602,0.63%,23790.72
13-12-2022,155.147,1.01%,24030.01
14-12-2022,155.622,0.31%,24103.56
15-12-2022,153.858,-1.13%,23830.43
16-12-2022,151.182,-1.74%,23415.96
19-12-2022,152.521,0.89%,23623.34
20-12-2022,152.076,-0.29%,23554.35
21-12-2022,148.566,-2.31%,23010.76
22-12-2022,146.835,-1.17%,22742.58
23-12-2022,140.386,-4.39%,21743.81
26-12-2022,145.829,3.88%,22586.86
27-12-2022,148.038,1.52%,22929.06
28-12-2022,148.209,0.12%,22955.45
29-12-2022,148.654,0.30%,23024.35
30-12-2022,150.258,1.08%,23272.91
02-01-2023,152.102,1.23%,23558.50
03-01-2023,152.957,0.56%,23690.85
04-01-2023,150.964,-1.30%,23382.18
05-01-2023,151.821,0.57%,23514.89
06-01-2023,150.560,-0.83%,23319.65
09-01-2023,152.284,1.15%,23586.68
10-01-2023,150.982,-0.86%,23384.92
11-01-2023,151.355,0.25%,23442.82
12-01-2023,150.538,-0.54%,23316.26
13-01-2023,151.256,0.48%,23427.39
16-01-2023,151.418,0.11%,23452.50
17-01-2023,150.919,-0.33%,23375.21
18-01-2023,150.741,-0.12%,23347.66
19-01-2023,150.801,0.04%,23356.92
20-01-2023,150.052,-0.50%,23240.88
23-01-2023,150.256,0.14%,23272.48
24-01-2023,149.141,-0.74%,23099.89
25-01-2023,146.004,-2.10%,22613.99
27-01-2023,141.371,-3.17%,21896.31
30-01-2023,141.184,-0.13%,21867.33
31-01-2023,144.658,2.46%,22405.44
01-02-2023,141.189,-2.40%,21868.17
02-02-2023,141.434,0.17%,21906.16
03-02-2023,141.833,0.28%,21967.90
06-02-2023,142.140,0.22%,22015.45
07-02-2023,141.400,-0.52%,21900.81
08-02-2023,142.211,0.57%,22026.51
09-02-2023,142.127,-0.06%,22013.48
10-02-2023,142.889,0.54%,22131.45
13-02-2023,141.619,-0.89%,21934.73
14-02-2023,141.959,0.24%,21987.39
15-02-2023,143.162,0.85%,22173.79
16-02-2023,144.318,0.81%,22352.78
17-02-2023,143.216,-0.76%,22182.19
20-02-2023,143.177,-0.03%,22176.08
21-02-2023,142.642,-0.37%,22093.17
22-02-2023,141.175,-1.03%,21865.93
23-02-2023,141.241,0.05%,21876.19
24-02-2023,139.794,-1.02%,21652.14
27-02-2023,139.114,-0.49%,21546.84
28-02-2023,139.427,0.22%,21595.20
01-03-2023,141.096,1.20%,21853.72
02-03-2023,141.212,0.08%,21871.81
03-03-2023,143.238,1.43%,22185.50
06-03-2023,143.974,0.51%,22299.50
08-03-2023,144.836,0.60%,22433.07
09-03-2023,144.002,-0.58%,22303.91
10-03-2023,142.525,-1.03%,22075.05
13-03-2023,139.658,-2.01%,21631.12
14-03-2023,137.985,-1.20%,21371.86
15-03-2023,137.860,-0.09%,21352.57
16-03-2023,137.719,-0.10%,21330.76
17-03-2023,137.972,0.18%,21369.89
20-03-2023,136.290,-1.22%,21109.45
21-03-2023,137.424,0.83%,21285.03
22-03-2023,137.802,0.28%,21343.63
23-03-2023,136.770,-0.75%,21183.71
